"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2023","581.08","587.95","591.07","577.49","","-1.17%"
"08/17/2023","587.93","587.54","590.50","585.85","","0.13%"
"08/16/2023","587.18","576.77","588.98","576.49","","1.79%"
"08/15/2023","576.84","570.21","579.58","570.21","","1.16%"
"08/14/2023","570.21","569.27","572.80","565.45","","0.15%"
"08/11/2023","569.34","564.94","570.04","564.42","","0.78%"
"08/10/2023","564.93","566.30","567.95","561.80","","-0.23%"
"08/09/2023","566.23","557.03","567.22","556.55","","1.67%"
"08/08/2023","556.94","556.49","557.57","551.91","","-0.03%"
"08/07/2023","557.13","559.96","563.39","554.42","","-0.51%"
"08/04/2023","559.96","553.08","567.15","553.08","","1.24%"
"08/03/2023","553.12","542.29","555.02","540.68","","2.00%"
"08/02/2023","542.29","548.58","548.58","540.88","","-1.15%"
"08/01/2023","548.62","546.20","550.20","542.48","","0.42%"
"07/31/2023","546.33","529.95","550.87","529.95","","3.10%"
"07/28/2023","529.91","527.95","530.58","525.76","","0.37%"
"07/27/2023","527.95","522.73","528.66","522.73","","1.04%"
"07/26/2023","522.54","524.06","524.67","521.04","","-0.26%"
"07/25/2023","523.91","518.38","524.88","517.65","","1.10%"
"07/24/2023","518.22","515.13","519.02","509.84","","0.64%"
"07/21/2023","514.90","517.70","524.17","514.90","","-0.54%"
"07/20/2023","517.67","516.91","520.44","516.53","","0.10%"
"07/19/2023","517.14","518.76","518.76","513.84","","-0.28%"
"07/18/2023","518.58","515.85","519.88","514.94","","0.55%"
"07/17/2023","515.76","526.63","526.63","515.19","","-2.16%"
"07/14/2023","527.12","533.27","533.27","525.85","","-1.17%"
"07/13/2023","533.37","542.42","542.89","531.71","","-1.66%"
"07/12/2023","542.36","546.54","549.32","542.07","","-0.71%"
"07/11/2023","546.24","542.91","546.75","539.59","","0.61%"
"07/10/2023","542.91","543.76","544.75","538.95","","-0.20%"
"07/07/2023","544.00","539.52","544.00","535.62","","0.83%"
"07/06/2023","539.52","536.32","542.49","531.59","","0.60%"
"07/05/2023","536.31","541.40","541.40","533.74","","-0.88%"
"07/04/2023","541.05","544.51","547.68","541.05","","-0.65%"
"07/03/2023","544.57","540.55","550.62","540.55","","0.72%"
"06/30/2023","540.67","534.21","542.43","533.90","","1.27%"
"06/29/2023","533.89","528.73","533.89","526.12","","0.97%"
"06/28/2023","528.76","527.44","532.36","526.39","","0.38%"
"06/27/2023","526.78","533.82","533.82","522.07","","-1.30%"
"06/26/2023","533.73","539.67","539.67","526.02","","-1.10%"
