Date;AdjustedPrice
2022-02-04;12,105722662761
2022-02-07;12,085909696046
2022-02-08;12,547371702622
2022-02-09;12,371576652498
2022-02-10;13,140679996792
2022-02-11;13,052782471729
2022-02-14;12,129858458577
2022-02-15;12,173807221108
2022-02-16;12,65724360895
2022-02-17;12,393551033763
2022-02-18;12,217755983639
2022-02-21;11,86616588339
2022-02-22;12,195781602373
2022-02-23;12,305653508701
2022-02-24;11,800242739594
2022-02-25;12,305653508701
2022-02-28;12,129858458577
2022-03-01;12,041960933515
2022-03-02;11,646422070735
2022-03-03;11,86616588339
2022-03-04;11,800242739594
2022-03-07;11,558524545673
2022-03-08;11,580498926938
2022-03-09;12,151832839842
2022-03-10;11,998012170984
2022-03-11;11,778268358328
2022-03-14;11,844191502125
2022-03-15;11,910114645921
2022-03-16;12,283679127436
2022-03-17;13,030808090464
2022-03-18;13,074756852995
2022-03-21;12,745141134012
2022-03-22;12,65724360895
2022-03-23;12,920936184136
2022-03-24;11,785124365283
2022-03-25;11,534377038362
2022-03-28;12,446185499893
2022-03-29;12,537366346046
2022-03-30;12,719728038352
2022-03-31;13,494765230653
2022-04-01;14,338188057569
2022-04-04;14,702911442181
2022-04-05;14,566140172951
2022-04-06;13,517560442191
2022-04-07;13,357993961423
2022-04-08;12,924884942196
2022-04-11;12,560161557584
2022-04-12;12,423390288355
2022-04-13;12,241028596048
2022-04-14;12,423390288355
2022-04-19;12,902089730658
2022-04-20;13,016065788349
2022-04-21;13,184750353733
2022-04-22;12,765318461429
2022-04-25;12,113375411434
2022-04-26;12,286619019125
2022-04-27;12,74252324989
2022-04-28;12,947680153735
2022-04-29;12,906648772966
2022-05-02;12,4507445422
2022-05-03;12,43250837297
2022-05-04;12,505453049892
2022-05-05;12,359563696047
2022-05-06;12,272941892202
2022-05-09;11,5571722499
2022-05-10;12,00395839605
2022-05-11;12,190879130664
2022-05-12;11,990281269128
2022-05-13;12,409713161432
2022-05-16;12,555602515276
2022-05-17;12,35500465374
2022-05-18;12,692373784506
2022-05-19;12,21823338451
2022-05-20;12,610311022968
2022-05-23;12,418831246047
2022-05-24;12,555602515276
2022-05-25;12,582956769122
2022-05-26;12,61714958643
2022-05-27;12,473539753739
2022-05-30;12,21823338451
2022-05-31;12,031312649896
2022-06-01;12,172642961434
2022-06-02;12,086021157588
2022-06-03;12,122493496049
2022-06-06;12,241028596048
2022-06-07;12,213674342203
2022-06-08;11,475109488363
2022-06-09;11,010087172982
2022-06-10;10,759339846061
2022-06-13;10,408293588372
2022-06-14;10,599773365293
2022-06-15;10,545064857601
2022-06-16;9,9569483999142
2022-06-17;10,075483499913
2022-06-20;10,335348911449
2022-06-21;10,517710603756
2022-06-22;10,339907953757
2022-06-23;9,3686039901116
2022-06-24;9,213617208053
